filename,fold,target,category,risk
break1.wav,1,0,break,high
break2.wav,1,0,break,high
break3.wav,1,0,break,high
break4.wav,1,0,break,high
break5.wav,1,0,break,high
break6.wav,1,0,break,high
break8.wav,1,0,break,high
break9.wav,1,0,break,high
break10.wav,1,0,break,high
break11.wav,1,0,break,high
break12.wav,1,0,break,high
break13.wav,1,0,break,high
break14.wav,1,0,break,high
break15.wav,1,0,break,high
break16.wav,1,0,break,high
break17.wav,1,0,break,high
break18.wav,1,0,break,high
horn1.wav,1,1,horn,medium 
horn2.wav,1,1,horn,medium
horn3.wav,1,1,horn,medium
horn4.wav,1,1,horn,medium
horn5.wav,1,1,horn,medium
horn6.wav,1,1,horn,medium
horn7.wav,1,1,horn,medium
horn8.wav,1,1,horn,medium
horn9.wav,1,1,horn,medium
horn10.wav,1,1,horn,medium
horn11.wav,1,1,horn,medium
horn12.wav,1,1,horn,medium
horn13.wav,1,1,horn,medium
horn14.wav,1,1,horn,medium
horn15.wav,1,1,horn,medium
horn16.wav,1,1,horn,medium
horn17.wav,1,1,horn,medium
horn18.wav,1,1,horn,medium
horn19.wav,1,1,horn,medium
horn20.wav,1,1,horn,medium
horn21.wav,1,1,horn,medium
horn22.wav,1,1,horn,medium
horn23.wav,1,1,horn,medium
horn24.wav,1,1,horn,medium
horn25.wav,1,1,horn,medium
start1.wav,1,2,start,low
start2.wav,1,2,start,low
start3.wav,1,2,start,low
start4.wav,1,2,start,low
start5.wav,1,2,start,low
start6.wav,1,2,start,low
start7.wav,1,2,start,low
start8.wav,1,2,start,low
start1.wav,1,2,start,low
start10.wav,1,2,start,low
start11.wav,1,2,start,low
start12.wav,1,2,start,low
start13.wav,1,2,start,low
start14.wav,1,2,start,low
start15.wav,1,2,start,low
start16.wav,1,2,start,low
start17.wav,1,2,start,low
start18.wav,1,2,start,low
start19.wav,1,2,start,low
start20.wav,1,2,start,low
start21.wav,1,2,start,low
start23.wav,1,2,start,low
start24.wav,1,2,start,low
start25.wav,1,2,start,low
start26.wav,1,2,start,low
start27.wav,1,2,start,low
start28.wav,1,2,start,low
start29.wav,1,2,start,low
start30.wav,1,2,start,low
start31.wav,1,2,start,low
start32.wav,1,2,start,low
start33.wav,1,2,start,low
start34.wav,1,2,start,low
start35.wav,1,2,start,low
start36.wav,1,2,start,low
cat1.wav,1,3,cat,high
cat2.wav,1,3,cat,high
cat3.wav,1,3,cat,high
cat4.wav,1,3,cat,high
cat5.wav,1,3,cat,high
cat6.wav,1,3,cat,high
cat7.wav,1,3,cat,high
cat8.wav,1,3,cat,high
cat9.wav,1,3,cat,high
cat10.wav,1,3,cat,high
cat11.wav,1,3,cat,high
cat12.wav,1,3,cat,high
cat13.wav,1,3,cat,high
cat14.wav,1,3,cat,high
cat15.wav,1,3,cat,high
cat16.wav,1,3,cat,high
cat17.wav,1,3,cat,high
cat18.wav,1,3,cat,high
cat19.wav,1,3,cat,high
cat20.wav,1,3,cat,high
cat21.wav,1,3,cat,high
cat22.wav,1,3,cat,high
cat23.wav,1,3,cat,high
cat24.wav,1,3,cat,high
cat25.wav,1,3,cat,high
cat26.wav,1,3,cat,high
cat27.wav,1,3,cat,high
cat28.wav,1,3,cat,high
cat29.wav,1,3,cat,high
cat30.wav,1,3,cat,high













